order_id,payment_sequential,payment_type,payment_installments,payment_value
00d8d65b666158b633f96054d31af43b,1,boleto,1,130.88
009ac365164f8e06f59d18a08045f6c4,5,voucher,1,8.75
0132158c30672a8c52997a2492613ec2,1,credit_card,8,413.31
010e7dda85fff564e8b7076ae3928efb,1,credit_card,10,133.34
006df90050498994d670b40da4651d22,1,credit_card,1,21.39
0123098b96f3d4014545642be53d891c,1,credit_card,2,117.08
0049edf42837aa808e03552a62bd2158,1,credit_card,1,67.5
00bdcdda88e6b02977fc6ce3d412c600,1,credit_card,1,137.83
00018f77f2f0320c557190d7a144bdd3,1,credit_card,3,259.83
00cb9736c0b43d6c1e2fbb2b88e69f6a,1,credit_card,2,126.74
0068468c453d28c8ef3fd089e50a5847,1,credit_card,3,489.85
00061f2a7bc09da83e415a52dc8a4af1,1,credit_card,3,68.87
01144cadcf64b6427f0a6580a3033220,1,credit_card,8,171.3
00f86b368251d739f1896d41469b2b7a,1,credit_card,4,175.05
00beb247698c6aae94e3f859d279e2cd,1,boleto,1,52.39
00254baeb6c932b0a8aeead91fbd02b5,1,credit_card,2,193.01
00335b686d693c7d72deeb12f8e89227,1,boleto,1,80.79
00169e31ef4b29deaae414f9a5e95929,1,boleto,1,55.11
012973f4cb6743d00d7e2644ddc8804c,1,credit_card,1,33.32
00e1bdb3f1388c8ed222597ee4fa01e7,1,boleto,1,437.59
004d76fef3dd46eb4f70da049c8d1f93,1,boleto,1,147.39
000e562887b1f2006d75e0be9558292e,1,credit_card,4,41.11
003a94f778ef8cfd50247c8c1b582257,1,credit_card,1,57.98
013bc77d3ca5fba084a241fdcb307393,2,voucher,1,17.72
00c9d0257381c7e9ec13b4505f25b2cf,1,credit_card,7,387.57
002c9def9c9b951b1bec6d50753c9891,1,credit_card,1,173.8
00f6ac4816d12f49026b09f2aa77d15f,1,credit_card,3,163.32
00335f75ea6a4455b524a8dd177067f5,1,credit_card,4,177.01
0113c9989fe6e5007795daec0633b405,1,credit_card,1,128.88
006f7dfffe2d90809598e8f1972b829b,1,credit_card,3,52.64
00858d03144cc35cfd1dd043647e7c88,1,credit_card,1,184.03
00602f25bffa1dcfb71e202fbf9824fb,1,boleto,1,93.92
00c9d9e61ed13f5bf2f0344da1aa4775,1,credit_card,2,56.29
00fcf938cde49ae138942b632ed62393,1,boleto,1,50.34
00bd50cdd31bd22e9081e6e2d5b3577b,3,voucher,1,40.46
00378c6c981f234634c0b9d6128df6dd,1,credit_card,2,52.85
00efb72d8e18533f736e86770705d094,1,credit_card,2,89.96
00d85bfe0e28c91b69d0fe1f29255a31,1,boleto,1,203.67
00a174dbf11967d260033fa6ab711493,1,credit_card,1,291.43
008ce8764db2e397e153000e017475b6,1,credit_card,3,70.88
011f9dff2545a2cf8ac1809faed3ec88,1,credit_card,10,126.26
0071ee2429bc1efdc43aa3e073a5290e,1,voucher,1,100.0
00a3a334aec7455a6d3319981499a3da,1,credit_card,3,36.35
00b5e1c770b1868ec1b6b726be3aa9b9,1,credit_card,1,59.25
00bcee890eba57a9767c7b5ca12d3a1b,1,credit_card,10,772.5
00fb055886536063afa0dbee07a0944f,1,boleto,1,57.38
012670c73246a753cbde0a215c2b9e8f,1,credit_card,1,114.84
00c842d0ae6462afc1d38fc055b02c75,1,debit_card,1,77.57
00f8fc0cb9d9b7813f1f54fbd75426f1,1,credit_card,1,163.77
00c95282163553a982f38481f9488481,1,credit_card,1,64.9
011405ae7b89def8ffb3468eb29c299d,1,credit_card,1,37.86
009838529bb913846ab6670d22865381,1,credit_card,6,176.4
003f201cdd39cdd59b6447cff2195456,1,credit_card,2,204.06
000229ec398224ef6ca0657da4fc703e,1,credit_card,5,216.87
014e78d1239f19fdcafd760d3e52f923,1,credit_card,1,28.5
014e7d12255fc66b5ea5e6c93eb4be7b,1,credit_card,1,94.3
00a870c6c06346e85335524935c600c0,1,credit_card,1,69.9
00a843f5a80c7aea894c558acc29f513,1,credit_card,4,47.09
00b4a910f64f24dbcac04fe54088a443,2,voucher,1,48.05
002d040018d12a3853c059f7f23ab5b1,1,boleto,1,169.84
006c42f310102c1910b3c5793ce5fc34,1,credit_card,3,250.79
005b49de51a4e006055e8487a50ad8e4,1,credit_card,4,61.38
0108c64ec135e4a7a75e9b5102af9bfa,1,boleto,1,193.53
014f1e63f9bd4f5578edcf4e5c305a0a,1,credit_card,2,148.24
011e6e76dd0cd56d26b5b0cb036e80a8,1,credit_card,1,23.28
011b8dd4f8c36fd4fcf50643ce91d58a,1,credit_card,3,265.98
0029c5db35ef291ce99d1262012e7daa,1,boleto,1,514.37
0035c0b07126fe9c24a325216fb96064,1,credit_card,10,150.44
00471463a6106056c1a2a809f70de640,1,credit_card,5,265.96
008fab5602c441d51f30b1464f5d4643,1,credit_card,1,65.55
011bf86f1b7dacebda2c874333cf656b,1,credit_card,10,108.64
00a99c50fdff7e36262caba33821875a,1,credit_card,4,75.29
009ac365164f8e06f59d18a08045f6c4,6,voucher,1,4.17
005f25968fc854ea16fb16f5bdbc87c7,1,credit_card,3,86.15
0115abf6b892040abfdd5bdfcb6b2c51,1,boleto,1,207.98
009ac365164f8e06f59d18a08045f6c4,1,credit_card,1,0.88
004fb5e6f90a178dc74ad2b016649249,1,credit_card,2,143.92
00f7c5b41250e0126ced62d612ff4711,1,boleto,1,80.67
009ac365164f8e06f59d18a08045f6c4,2,voucher,1,4.5
009c278fa2ed6e7ec498200b60193ca8,1,credit_card,2,45.09
0121cfa7c946e6589f50d7012d3eb5eb,1,credit_card,4,46.78
00b7174ea52bb811ebe2663add51afc0,1,credit_card,5,92.97
00b9e0f8f588d0406a3de447eb606970,1,boleto,1,56.5
0035e6b7ade84b3f5b86bd49814793df,1,credit_card,1,34.0
013aa6ba5077072401773f83f1ee6408,1,credit_card,2,178.21
00bf1320ffb5fe47a845feca16c0e0b4,1,credit_card,8,469.39
00c826c901ab01b6f598a8f0c9b56b82,1,credit_card,1,92.91
01336d091c57d8be1feca330c5f047bd,1,credit_card,3,90.73
010b143d83a59b355cd5a75c0f0fd785,1,credit_card,8,224.6
0045e3085f083f0f38d24bb3f22e6593,1,credit_card,3,130.74
00a3f1ef430d3984dece2f39d6cbf431,1,credit_card,8,201.99
00faa6afcde74aaa630e1d2fda2bb0f7,1,boleto,1,40.76
00756576f4e494406945ac21cb82cfe0,1,boleto,1,152.71
01029b44abe6e15c8df48b1b759ab437,1,credit_card,2,93.85
00c8bfbb0a1224dcdb0180a544247159,1,credit_card,8,173.2
014176e9538672a32d2a9b73bf53a31f,1,credit_card,6,156.64
00e7ee1b050b8499577073aeb2a297a1,1,credit_card,2,146.87
007beb35f98c075747e6fc4fd1c0cb73,1,credit_card,2,83.59
002f19a65a2ddd70a090297872e6d64e,1,voucher,1,44.11
0119e98feb97441cb456c010c25b04ff,1,credit_card,1,104.96
0057199db02d1a5ef41bacbf41f8f63b,1,boleto,1,37.09
00119ff934e539cf26f92b9ef0cdfed8,1,credit_card,6,236.88
00c405bd71187154a7846862f585a9d4,7,voucher,1,20.0
006e91ddb0674525f84ce0da0655c7ba,1,credit_card,8,529.35
00588f5f20fee630b83d4709e0a42715,1,credit_card,4,114.9
00bd50cdd31bd22e9081e6e2d5b3577b,2,voucher,1,40.46
00404fa7a687c8c44ca69d42695aae73,1,boleto,1,99.9
004fb11815bc03b01b20a614eef69d14,1,credit_card,3,92.74
00137e170939bba5a3134e2386413108,1,boleto,1,421.65
01015fb6493ea5b9ba105c80b5452da1,1,credit_card,1,19.85
004eab0fd8f28adaf8d488976f77febe,1,credit_card,1,33.48
000576fe39319847cbb9d288c5617fa6,1,credit_card,10,880.75
003d9fc84ad902adf2265248b5ffe1a4,1,credit_card,3,94.74
00cb18db3d9c03f8386e7fc70cad2504,1,credit_card,1,144.03
008dc31c0ae7121f2791953ae5f532c3,1,credit_card,1,62.65
00d9ac423c9ad6781c0ed04e87666691,1,credit_card,3,379.2
00dfb074b5c910fbd08e04691c4b712f,1,credit_card,6,134.57
011667ae100a333a3051c9a23e3f0283,1,credit_card,3,42.09
011abf147a69ba486bae3a74b6cd1814,1,credit_card,3,296.71
00e1426d4c79f2e022570012c1ff57ed,1,credit_card,3,86.55
00a250dbdb3153cc6ecf4d3f07ef6a17,1,credit_card,6,61.77
01442602b15d4127a84ca6ac1507ee2d,1,credit_card,10,523.72
0015ebb40fb17286bea51d4607c4733c,1,credit_card,1,37.0
00d50baf1bc56a3c59de1810a6b84b0d,1,credit_card,8,188.24
00e6bc6b166eb28b4502c1cad4457248,1,credit_card,2,85.86
00ace652c8a5072670f30674e5f19844,1,boleto,1,147.26
001d8f0e34a38c37f7dba2a37d4eba8b,1,credit_card,2,53.54
003a7f59d7e08a9c61d9e2881fe6459c,1,credit_card,10,134.28
012dc9e42da722d22e32c618a2521bec,1,credit_card,4,58.87
0064d74f7de7917d54768d7722ad56ac,1,credit_card,4,221.07
011b142c9e082a5c1d10e0a88cd9c8e8,1,credit_card,1,297.2
00f251b943aba645652c7138e4716fee,1,credit_card,1,101.25
00c405bd71187154a7846862f585a9d4,6,voucher,1,20.0
011375f941b3695c3c3ee58bfe0d3655,1,credit_card,2,144.29
00ec95a58b63378d4cc06d196cdefdf6,1,debit_card,1,187.96
00ac05fe0fc047c54418098eb64e3aaa,2,debit_card,1,123.47
00ad1a02d4d9decad15c7e8f8a9470cc,1,boleto,1,68.25
003d0634280ff3d1d3a54459349a6899,1,credit_card,1,228.89
0114835d7f0b3f674b70a989411e31c1,1,boleto,1,112.13
0113affd907a209209ab08413bb54226,1,credit_card,4,186.1
00b47ee856118583dbec7d1f9b18d847,1,credit_card,2,28.88
013d92e415d1de7bf3b3b706f1b6d292,1,credit_card,8,204.07
00f6dbc6195397197ee147ee45607a2c,1,boleto,1,64.42
00e7aeced1d61792368ec7bf8b967a90,1,boleto,1,58.7
00310b0c75bb13015ec4d82d341865a4,1,credit_card,2,55.28
00d1e381c0995f0bdb95909fe7434d0b,1,credit_card,2,170.16
000aed2e25dbad2f9ddb70584c5a2ded,1,credit_card,1,152.77
005997dca4c1fc45066d0a03d54a6469,1,credit_card,6,133.75
012b3f6ab7776a8ab3443a4ad7bef2e6,1,credit_card,6,107.8
0020a222f55eb79a372d0efee3cca688,1,credit_card,4,45.09
00143d0f86d6fbd9f9b38ab440ac16f5,1,credit_card,1,109.29
008d9bf350ff02ed444b3452cf3f57e0,1,credit_card,1,50.44
005059edee63c8c708ba61910793b31b,1,credit_card,8,219.78
01237c761ffb72594a466ed514518af0,1,credit_card,2,126.46
0071ee2429bc1efdc43aa3e073a5290e,2,voucher,1,92.44
0006ec9db01a64e59a68b2c340bf65a7,1,credit_card,4,97.32
0013503b13da1eac686219390b7d641b,1,boleto,1,137.22
001daeb0eddc45b999bad0801ad9d273,1,boleto,1,55.12
014872cb0c4fc7695c70484966baa65c,1,boleto,1,312.84
0030d783f979fbc5981e75613b057344,1,credit_card,7,78.27
00f2c876aa08fbba04199823952e96c1,1,boleto,1,86.22
00b44ba3d7c4a5e9a9ebafef9150781d,1,credit_card,1,67.58
001dbc16dc51075e987543d23a0507c7,1,credit_card,1,87.9
009ac365164f8e06f59d18a08045f6c4,4,voucher,1,5.45
012f29911fcd2f1209d937741a6bbc6f,1,credit_card,4,42.07
00d0ff2017f9ea13dd7eec7470ca473a,1,boleto,1,74.69
00024acbcdf0a6daa1e931b038114c75,1,credit_card,2,25.78
