product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
adf591c625cb265c12bc6749d3a2f757,beleza_saude,60.0,1146.0,6.0,150.0,20.0,24.0,33.0
f9471562478eba8761bc985b968a0092,utilidades_domesticas,38.0,390.0,1.0,850.0,18.0,21.0,15.0
5e21d5cab5d33e770d8150a4ee6117db,relogios_presentes,60.0,312.0,4.0,200.0,16.0,2.0,11.0
e10758160da97891c2fdcbc35f0f031d,,,,,2200.0,16.0,2.0,11.0
0e40b1ed4cfd3da1962ec91913e54ba8,eletronicos,52.0,424.0,1.0,175.0,22.0,11.0,15.0
e2c3ed9aaddfd2312a6a5fe9b3ddadd3,brinquedos,53.0,579.0,1.0,675.0,22.0,24.0,21.0
c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,39.0,772.0,1.0,150.0,16.0,16.0,11.0
ce130b350f529a1d6288f927da7404ea,cama_mesa_banho,50.0,171.0,1.0,1450.0,45.0,10.0,15.0
a963ea4d494221de09b70f1b4a70edbd,informatica_acessorios,58.0,240.0,1.0,150.0,35.0,8.0,11.0
464383c22e65860826cf78650fe0f4e4,consoles_games,49.0,781.0,5.0,200.0,16.0,16.0,16.0
121b9686b9929855d823981fc655a6fe,utilidades_domesticas,55.0,747.0,1.0,6250.0,53.0,23.0,28.0
6c90c0f6c2d89eb816b9e205b9d6a36a,informatica_acessorios,41.0,260.0,1.0,775.0,21.0,18.0,26.0
53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,33.0,523.0,3.0,584.0,16.0,11.0,13.0
bcac2cdcd851929a5caa3e1508d5abc9,utilidades_domesticas,45.0,928.0,1.0,800.0,39.0,6.0,28.0
2f763ba79d9cd987b2034aac7ceffe06,eletronicos,45.0,1198.0,2.0,595.0,8.0,6.0,6.0
a93ad122024312ca432da7f7b32474b4,cama_mesa_banho,48.0,267.0,1.0,1588.0,48.0,12.0,44.0
4834f24983a4f056e5ae64265f723aaf,eletronicos,52.0,468.0,3.0,230.0,16.0,14.0,15.0
a8115d34a4b7b74388da609692162c37,informatica_acessorios,34.0,1080.0,2.0,250.0,41.0,2.0,29.0
9f69acd4da62618a3f6365b732d00ccd,,,,,850.0,27.0,13.0,21.0
31a2f42a87890f87d77daebdfabc182e,brinquedos,58.0,419.0,5.0,1700.0,30.0,35.0,25.0
8cab8abac59158715e0d70a36c807415,esporte_lazer,56.0,1392.0,4.0,1050.0,40.0,20.0,30.0
d0fb1e667e989933a80444f93da833c0,utilidades_domesticas,47.0,390.0,3.0,525.0,18.0,19.0,16.0
bf06a69bb27c58156391de458700f3e7,relogios_presentes,60.0,272.0,5.0,300.0,16.0,2.0,11.0
fc13bac52be6640d9a77f54894e2c0e6,beleza_saude,42.0,1158.0,1.0,550.0,17.0,9.0,13.0
b50c950aba0dcead2c48032a690ce817,esporte_lazer,58.0,2584.0,1.0,1800.0,16.0,16.0,16.0
5d422bd54b54307ff7a5e770f40946e4,brinquedos,16.0,508.0,2.0,300.0,16.0,5.0,16.0
601a360bd2a916ecef0e88de72a6531a,cool_stuff,33.0,897.0,1.0,1600.0,42.0,25.0,15.0
9b08a09bf2fd9731cfca8cb3db24457c,construcao_ferramentas_construcao,14.0,233.0,3.0,150.0,16.0,10.0,12.0
19c91ef95d509ea33eda93495c4d3481,beleza_saude,50.0,1257.0,1.0,700.0,25.0,12.0,19.0
83d199d296c44101c8c3b5c9c0cce9ea,brinquedos,26.0,855.0,2.0,500.0,18.0,6.0,21.0
7d88f23682af2fc7db5484b6e41f8993,eletrodomesticos,50.0,264.0,1.0,500.0,18.0,8.0,13.0
2c3210fa1dfe1fdf8b8e3254287c9e4c,cama_mesa_banho,58.0,405.0,1.0,1400.0,40.0,10.0,30.0
1491a8ff192d4b5c369b0eaa2fe33ee5,cama_mesa_banho,46.0,162.0,5.0,4600.0,60.0,19.0,50.0
78efe838c04bbc568be034082200ac20,moveis_decoracao,57.0,272.0,1.0,2500.0,40.0,10.0,30.0
55782cb82e0efe052da0a3da237da3b2,automotivo,60.0,1159.0,3.0,2450.0,30.0,30.0,30.0
f23c48d81cd6a0c87f5c3b14aac68371,beleza_saude,53.0,963.0,1.0,900.0,30.0,30.0,16.0
4e64dbe0b03dc0aba80f28b0b922c6b6,telefonia,43.0,1468.0,1.0,133.0,18.0,5.0,13.0
310ae3c140ff94b03219ad0adc3c778f,beleza_saude,59.0,493.0,1.0,2000.0,30.0,12.0,16.0
35537536ed2b4c561b4018bf3abf54e0,esporte_lazer,59.0,1459.0,9.0,2100.0,36.0,9.0,14.0
93c902b021a9e594f658ab1b0351602a,eletronicos,60.0,390.0,7.0,1250.0,26.0,10.0,18.0
07c055536ebf10dfbb6c6db6dbfc36e5,moveis_decoracao,59.0,473.0,1.0,600.0,30.0,3.0,20.0
5ed9eaf534f6936b51d0b6c5e4d5c2e9,cool_stuff,51.0,693.0,3.0,600.0,20.0,20.0,21.0
656e0eca68dcecf6a31b8ececfabe3e8,informatica_acessorios,45.0,236.0,1.0,173.0,18.0,13.0,12.0
9cd17b1cc8db0de6b175f213e9054c01,brinquedos,50.0,903.0,5.0,2416.0,32.0,28.0,23.0
cdc9d87e17ccf98f35634e6c3b77073e,esporte_lazer,57.0,1236.0,1.0,4250.0,20.0,20.0,20.0
fb8e60e1a3c247d3a2e17f6986e71a40,moveis_decoracao,58.0,858.0,1.0,3250.0,31.0,43.0,21.0
c589625c8ccc7bfd2e8f1fb041e24c4a,beleza_saude,60.0,919.0,1.0,150.0,22.0,3.0,15.0
57f2bc497c1a3ebe41ba7a06d78ed159,relogios_presentes,55.0,336.0,4.0,250.0,16.0,2.0,20.0
fadc89c2a60ff96b18827644074dfd70,utilidades_domesticas,52.0,827.0,1.0,1800.0,30.0,30.0,30.0
fea7f0c147905a41ca324c0e3234a4c7,informatica_acessorios,60.0,2127.0,1.0,225.0,18.0,10.0,16.0
0f0c4960b05d6145bbb4b348423503ef,eletronicos,32.0,139.0,3.0,1700.0,32.0,5.0,26.0
1f9799a175f50c9fa725984775cac5c5,cama_mesa_banho,51.0,82.0,1.0,1000.0,40.0,5.0,25.0
ec2d43cc59763ec91694573b31f1c29a,cama_mesa_banho,38.0,735.0,5.0,800.0,20.0,20.0,20.0
e9eebb8e8ba0fadb9020f8ba1c003b48,perfumaria,36.0,210.0,1.0,541.0,21.0,15.0,16.0
9ab817d90bc61ed772ffea01b4cdcdb6,beleza_saude,57.0,1262.0,1.0,450.0,20.0,12.0,12.0
2083a6feb4bbb31f6abc92fc24e468c0,telefonia,56.0,3135.0,2.0,150.0,19.0,15.0,15.0
f2b67cf6ef88cbc9c2f3e482f558b318,perfumaria,45.0,977.0,2.0,117.0,16.0,11.0,13.0
42a2bd596fda1baef5719cb74f73030c,cama_mesa_banho,60.0,188.0,1.0,1300.0,44.0,2.0,35.0
2d4d78eecba060a7127c5f6a21cdb0c7,brinquedos,28.0,137.0,1.0,2444.0,45.0,22.0,41.0
79e42c4fa2bde6e0c828d23c4fb7df35,instrumentos_musicais,57.0,962.0,4.0,900.0,42.0,8.0,40.0
fca62108387e25005784da2f551466a1,moveis_decoracao,42.0,87.0,3.0,14600.0,84.0,8.0,84.0
8d7ab3701456fdbfe2526636ce15327a,malas_acessorios,52.0,408.0,1.0,325.0,18.0,18.0,16.0
33fac76e7f17367dedaef7954bbb33b4,beleza_saude,63.0,1113.0,2.0,550.0,20.0,20.0,20.0
ef92defde845ab8450f9d70c526ef70f,utilidades_domesticas,36.0,558.0,1.0,450.0,24.0,8.0,15.0
cdd68c0ef3e507db79631336cf9ec285,moveis_decoracao,49.0,494.0,2.0,450.0,30.0,20.0,20.0
33bd5538a16d23f0a39da1c9bfd20980,casa_conforto,52.0,181.0,1.0,2200.0,54.0,9.0,28.0
69c5919a1b057b3d3d8b58f3b9b4b89d,automotivo,34.0,364.0,1.0,800.0,20.0,10.0,20.0
0ce1e35bdc6af7e582e7ef9363e29b5b,telefonia,57.0,607.0,1.0,100.0,16.0,11.0,9.0
525f8fbde09c9bf777025c3141fbbc6e,climatizacao,52.0,346.0,3.0,250.0,22.0,11.0,16.0
447934cd014b033280977350b730d892,cama_mesa_banho,58.0,124.0,1.0,3100.0,60.0,16.0,16.0
b22658be72921a967a7d592dfc61e54e,perfumaria,34.0,523.0,1.0,500.0,20.0,20.0,20.0
f7a17d2c51d9df89a4f1711c4ac17f33,utilidades_domesticas,56.0,1245.0,5.0,350.0,22.0,8.0,19.0
cebff45f1d1558430be0e07ac0df6a68,automotivo,56.0,960.0,3.0,1400.0,30.0,30.0,30.0
cfbc837967ca671ee87f5243f2a1024d,esporte_lazer,47.0,527.0,1.0,400.0,16.0,17.0,11.0
dbaee28f4ee64465838a229582d77520,construcao_ferramentas_construcao,58.0,1178.0,2.0,418.0,19.0,6.0,13.0
368c6c730842d78016ad823897a372db,ferramentas_jardim,57.0,366.0,2.0,1650.0,30.0,22.0,30.0
9f14f401fce2d9ddd450e7ce60cb7f5f,consoles_games,45.0,130.0,1.0,100.0,20.0,3.0,15.0
8338cef8355d238f43711dcb9c0657b2,moveis_decoracao,59.0,473.0,1.0,700.0,30.0,3.0,20.0
b596e2d70dd2f5fb5ff9ee2a1c803e5b,esporte_lazer,53.0,748.0,2.0,6300.0,42.0,20.0,32.0
38afdf723b95d455b418a0f57d623c6b,moveis_decoracao,38.0,479.0,3.0,2500.0,34.0,6.0,28.0
634256dbcd184b3757ffd7632c9fe52a,beleza_saude,49.0,295.0,1.0,150.0,16.0,5.0,17.0
526f833e1eb0a32ad9351145a761b9ab,relogios_presentes,60.0,491.0,2.0,250.0,16.0,2.0,11.0
741a31499a578979be85db7f80139e62,moveis_decoracao,59.0,473.0,1.0,600.0,30.0,3.0,20.0
cb3ad2d2499eebaa7ccb4fd1e7db9bc7,automotivo,57.0,689.0,4.0,1450.0,30.0,30.0,30.0
f2af004352a06a99dca765596240cbc3,beleza_saude,61.0,1054.0,4.0,100.0,29.0,5.0,15.0
9bb2d066e4b33b624cbdfec7d50b3dcb,pet_shop,53.0,1494.0,2.0,900.0,26.0,19.0,23.0
2c2491f31fe7320124ccf2f3404354a6,telefonia,60.0,818.0,6.0,300.0,17.0,4.0,12.0
2b4609f8948be18874494203496bc318,beleza_saude,59.0,492.0,3.0,250.0,22.0,10.0,18.0
1d417ca09479182e9fdf13a1c77c309f,cama_mesa_banho,49.0,729.0,1.0,1300.0,20.0,30.0,30.0
